的 de/di2/di4
一 yi1
不 bu4/bu2
是 shi4
了 le/liao3/liao4
人 ren2
在 zai4
有 you3
我 wo3
他 ta1
这 zhe4/zhei4
为 wei2/wei4
之 zhi1
来 lai2
大 da4/dai4
以 yi3
个 ge4
中 zhong1/zhong4
上 shang4
们 men
到 dao4
说 shui4/shuo1
国 guo2
和 he2/he4/huo2/huo4
地 de/di4
也 ye3
子 zi3/zi
时 shi2
道 dao4
出 chu1
而 er2
要 yao1/yao4
于 yu2
就 jiu4
下 xia4
得 de2/de/dei3
可 ke3
你 ni3
年 nian2
生 sheng1
自 zi4
会 hui4/kuai4
那 na3/na4/nei4
后 hou4
能 neng2
对 dui4
着 zhao1/zhao2/zhe/zhu4/zhuo2
事 shi4
其 qi2
里 li3
所 suo3
去 qu4
行 hang2/xing2/xing4
过 guo4
家 jia1
十 shi2
用 yong4
发 fa1/fa4
天 tian1
如 ru2
然 ran2
作 zuo4
方 fang1
成 cheng2/cheng4
者 zhe3
多 duo1
日 ri4
都 dou1/du1
三 san1
小 xiao3
军 jun1
二 er4
无 wu2
同 tong2
么 ma/me/yao1
经 jing1
法 fa3
当 dang1/dang4
起 qi3
与 yu2/yu3/yu4
好 hao3/hao4
看 kan1/kan4
学 xue2
进 jin4
种 zhong3/zhong4
将 jiang1/jiang4
还 hai2/huan2/huan4
分 fen1/fen4
此 ci3
心 xin1
前 qian2
面 mian4
又 you4
定 ding4
见 jian4/xian4
只 qi2/zhi1/zhi3
主 zhu3
没 mei2/mo4
公 gong1
从 cong1/cong2/zong4
知 zhi1
使 shi3
部 bu4
本 ben3
动 dong4
现 xian4
因 yin1
开 kai1
些 xie1
理 li3
长 chang2/zhang3
明 ming2
样 yang4
意 yi4
已 yi3
月 yue4
正 zheng1/zheng4
想 xiang3
实 shi2
把 ba3/ba4
但 dan4
相 xiang1/xiang4
两 liang3
民 min2
她 ta1
力 li4
文 wen2
等 deng3
外 wai4
第 di4
王 wang2
高 gao1
问 wen4
太 tai4
头 tou2/tou
情 qing2
西 xi1
机 ji1
它 ta1
回 hui2
并 bing4
间 jian1/jian4
手 shou3
四 si4
关 guan1
重 chong2/zhong4
应 ying1/ying4
工 gong1
性 xing4
全 quan2
门 men2
老 lao3
点 dian3
身 shen1
东 dong1
由 you2
何 he2
向 xiang4
至 zhi4
物 wu4
战 zhan4
业 ye4
被 bei4
政 zheng4
内 nei4
五 wu3
儿 er2/er
及 ji2
入 ru4
先 xian1
己 ji3
安 an1
或 huo4
利 li4
很 hen3
最 zui4
书 shu1
制 zhi4
美 mei3
山 shan1
体 ti3
什 shen2/shi2
新 xin1
话 hua4
名 ming2
曰 yue1
合 ge3/he2
加 jia1
世 shi4
平 ping2
水 shui3
常 chang2
果 guo3
位 wei4
信 xin4
度 du4
产 chan3
立 li4
声 sheng1
南 nan2
代 dai4
走 zou3
女 nu:3/nv3
言 yan2
马 ma3
金 jin1
处 chu3/chu4
便 bian4/pian2
通 tong1
命 ming4
特 te2/te4
给 gei3/ji3
数 shu3/shu4/shuo4
次 ci4
海 hai3
今 jin1
表 biao3
原 yuan2
斯 si1
义 yi4
各 ge4
州 zhou1
化 hua4
口 kou3
任 ren4
真 zhen1
才 cai2
几 ji1/ji3
教 jiao1/jiao4
官 guan1
少 shao3/shao4
司 si1
德 de2
解 jie3/jie4/xie4
神 shen2
则 ze2
必 bi4
兵 bing1
气 qi4
打 da2/da3
员 yuan2
再 zai4
论 lun2/lun4
别 bie2/bie4
听 ting1/ting4
提 di1/ti2
万 wan4
死 si3
更 geng1/geng4
比 bi3/bi4
受 shou4
百 bai3
做 zuo4
尔 er3
即 ji2
元 yuan2
报 bao4
直 zhi2
白 bai2
总 zong3
非 fei1
建 jian4
夫 fu1
北 bei3
未 wei4
张 zhang1
令 ling4
反 fan3
士 shi4
师 shi1
许 xu3
条 tiao2
变 bian4
系 xi4
计 ji4
且 qie3
认 ren4
目 mu4
光 guang1
管 guan3
路 lu4
接 jie1
城 cheng2
活 huo2
保 bao3
结 jie1/jie2
题 ti2
却 que4
指 zhi3
感 gan3
难 nan2/nan4
量 liang2/liang4
务 wu4
治 zhi4
取 qu3
场 chang3
思 si1
电 dian4
空 kong1/kong4
边 bian1
统 tong3
件 jian4
期 qi1
克 ke4
帝 di4
亲 qin1/qing4
复 fu4
住 zhu4
请 qing3
市 shi4
六 liu4
放 fang4
风 feng1
资 zi1
求 qiu2
史 shi3
色 se4/shai3
形 xing2
望 wang4
传 chuan2/zhuan4
八 ba1
府 fu3
眼 yan3
领 ling3
清 qing1
决 jue2
笑 xiao4
告 gao4
叫 jiao4
队 dui4
强 qiang2
往 wang3/wang4
区 ou1/qu1
交 jiao1
武 wu3
达 da2
社 she4
权 quan2
科 ke1
九 jiu3
设 she4
李 li3
观 guan1/guan4
记 ji4
改 gai3
展 zhan3
字 zi4
故 gu4
品 pin3
议 yi4
象 xiang4
花 hua1
七 qi1
完 wan2
